ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;MH_E;HK_EU15;HK_EU28;HK_Polen;HK_EheJug;HK_EheSU;HK_Turk;HK_Arab;HK_Sonst;HK_NZOrd
201912;01011101;01;01;11;01;1;2075;372;609;108;35;345;91;256;651;88
201912;01011102;01;01;11;02;1;71;21;39;6;0;0;0;6;23;3
201912;01011103;01;01;11;03;1;2979;482;972;181;102;385;326;358;698;138
201912;01011104;01;01;11;04;1;3005;414;682;115;97;237;400;665;745;179
201912;01011105;01;01;11;05;1;1047;169;280;58;6;226;47;228;236;24
201912;01011201;01;01;12;01;1;1494;183;378;33;25;334;50;202;438;67
201912;01011202;01;01;12;02;1;315;101;156;7;3;50;3;9;94;0
201912;01011203;01;01;12;03;1;637;114;182;19;12;216;44;26;150;7
201912;01011204;01;01;12;04;1;4341;654;1307;181;86;848;189;535;1230;146
201912;01011301;01;01;13;01;1;3009;820;1255;154;52;391;107;166;995;43
201912;01011302;01;01;13;02;1;5095;1602;2184;238;115;453;212;280;1768;83
201912;01011303;01;01;13;03;1;4811;1087;1630;199;102;550;158;451;1790;130
201912;01011304;01;01;13;04;1;3832;456;828;168;190;396;282;386;1616;134
201912;01011305;01;01;13;05;1;3700;598;963;121;48;551;187;452;1372;127
201912;01011306;01;01;13;06;1;4939;918;1520;238;150;424;591;306;1722;226
201912;01011401;01;01;14;01;1;8085;2481;3417;394;117;790;257;639;2695;170
201912;01011402;01;01;14;02;1;5578;2121;2703;208;88;387;144;252;1893;111
201912;01022101;01;02;21;01;1;1913;269;710;225;107;101;163;386;360;86
201912;01022102;01;02;21;02;1;4258;572;1387;338;272;154;571;748;899;227
201912;01022103;01;02;21;03;1;248;16;40;9;10;0;36;53;91;18
201912;01022104;01;02;21;04;1;9559;1470;3021;717;559;509;1364;1437;2158;511
201912;01022105;01;02;21;05;1;3154;354;936;155;166;169;515;587;579;202
201912;01022106;01;02;21;06;1;4120;847;1499;284;158;398;421;444;1034;166
201912;01022201;01;02;22;01;1;5627;968;1762;366;236;311;1051;718;1222;327
201912;01022202;01;02;22;02;1;2277;348;546;84;50;217;480;245;518;221
201912;01022203;01;02;22;03;1;4304;425;1092;269;257;238;1029;752;567;369
201912;01022204;01;02;22;04;1;2661;507;980;226;99;273;246;262;681;120
201912;01022205;01;02;22;05;1;2109;132;367;148;141;284;355;482;312;168
201912;01022206;01;02;22;06;1;1304;237;500;132;37;108;160;117;314;68
201912;01022207;01;02;22;07;1;2797;659;1069;183;58;276;165;215;927;87
201912;01033101;01;03;31;01;1;17239;1783;5036;1048;1202;685;4173;2665;2440;1038
201912;01033102;01;03;31;02;1;7311;752;1878;409;502;270;2265;909;979;508
201912;01033201;01;03;32;01;1;9580;630;1397;384;303;642;3510;1536;1210;982
201912;01033202;01;03;32;02;1;6219;520;1243;434;277;442;1943;747;938;629
201912;01033203;01;03;32;03;1;9473;1019;2450;568;599;498;2289;1599;1356;682
201912;01044101;01;04;41;01;1;10472;1325;3433;927;677;425;2186;1214;1835;702
201912;01044102;01;04;41;02;1;7011;726;2191;812;472;345;1429;852;1112;610
201912;01044103;01;04;41;03;1;4756;697;1585;282;162;273;770;710;1040;216
201912;01044201;01;04;42;01;1;16538;1729;4455;870;1000;620;4358;2564;2414;1127
201912;01044202;01;04;42;02;1;10170;1397;3161;723;473;406;1519;1480;2598;533
201912;01044203;01;04;42;03;1;9636;1234;3105;697;578;370;2465;1103;1478;537
201912;02010101;02;01;01;01;1;4568;454;911;175;141;396;885;812;1058;365
201912;02010102;02;01;01;02;1;9442;834;1545;292;263;592;2921;1845;1181;1095
201912;02010103;02;01;01;03;1;10751;708;1342;309;232;310;5345;1088;1011;1423
201912;02010104;02;01;01;04;1;3291;297;479;57;57;33;1473;505;331;413
201912;02020201;02;02;02;01;1;719;147;240;28;6;61;60;50;271;31
201912;02020202;02;02;02;02;1;2683;610;923;127;78;104;395;436;595;152
201912;02020203;02;02;02;03;1;4411;1248;1753;252;151;136;588;406;1188;189
201912;02020204;02;02;02;04;1;5504;1464;2155;314;219;228;905;463;1302;232
201912;02020205;02;02;02;05;1;6417;1684;2289;231;143;180;1273;394;1735;403
201912;02020206;02;02;02;06;1;8998;2197;3206;399;274;222;1885;1069;1827;515
201912;02030301;02;03;03;01;1;5614;685;946;77;114;66;2853;319;689;627
201912;02030302;02;03;03;02;1;7151;1231;1695;154;123;136;2916;512;1129;640
201912;02030401;02;03;04;01;1;7473;1866;2497;272;202;160;1992;530;1584;508
201912;02030402;02;03;04;02;1;5650;1412;1859;211;96;139;1775;187;1210;384
201912;02040501;02;04;05;01;1;1619;176;422;97;61;224;74;193;590;55
201912;02040502;02;04;05;02;1;2458;456;835;161;105;272;67;182;913;84
201912;02040503;02;04;05;03;1;3282;921;1423;251;82;272;83;191;1122;109
201912;02040701;02;04;07;01;1;5991;693;1439;300;391;732;341;743;2138;207
201912;02040702;02;04;07;02;1;3572;1130;1562;190;85;267;144;241;1183;90
201912;02040703;02;04;07;03;1;804;117;453;31;15;75;50;30;172;9
201912;02050601;02;05;06;01;1;3128;922;1350;189;120;200;75;208;1125;50
201912;02050602;02;05;06;02;1;7217;2423;3368;383;195;635;201;399;2283;136
201912;02050801;02;05;08;01;1;7739;2421;3277;364;331;514;227;728;2484;178
201912;02050802;02;05;08;02;1;7541;2899;3814;443;125;452;226;411;2348;165
201912;02050803;02;05;08;03;1;2823;858;1298;175;82;261;128;178;814;62
201912;02050804;02;05;08;04;1;1042;257;414;74;39;108;37;57;347;40
201912;03010101;03;01;01;01;2;702;97;264;83;37;114;29;65;178;15
201912;03010102;03;01;01;02;2;2834;111;527;261;101;487;112;596;999;12
201912;03010104;03;01;01;04;2;45;12;42;12;0;3;0;0;0;0
201912;03020203;03;02;02;03;2;138;19;67;24;10;10;0;9;42;0
201912;03020209;03;02;02;09;2;2631;490;1099;309;50;290;89;177;867;59
201912;03020210;03;02;02;10;2;1807;233;619;210;78;278;146;212;408;66
201912;03020307;03;02;03;07;2;2485;232;859;369;87;646;144;241;454;54
201912;03030405;03;03;04;05;2;2129;177;568;243;78;472;52;384;554;21
201912;03030406;03;03;04;06;2;746;111;312;116;22;186;12;43;159;12
201912;03030711;03;03;07;11;2;524;87;212;86;15;89;24;48;106;30
201912;03030715;03;03;07;15;2;1666;141;367;95;63;221;79;373;519;44
201912;03030716;03;03;07;16;2;33;6;9;3;0;6;0;0;18;0
201912;03040508;03;04;05;08;2;946;115;286;114;16;175;179;59;155;76
201912;03040512;03;04;05;12;2;1908;229;681;257;55;245;234;171;405;117
201912;03040513;03;04;05;13;2;563;117;237;73;24;70;35;64;104;29
201912;03040614;03;04;06;14;2;6151;1358;2639;627;205;755;222;471;1697;162
201912;03040818;03;04;08;18;2;6528;1389;2721;705;203;838;161;612;1901;92
201912;03050919;03;05;09;19;2;692;83;230;79;44;98;7;121;185;7
201912;03050920;03;05;09;20;2;1216;283;650;181;34;124;36;86;271;15
201912;03050923;03;05;09;23;2;2349;529;1033;238;87;321;71;143;638;56
201912;03050924;03;05;09;24;2;1523;361;693;144;88;160;64;113;375;30
201912;03050925;03;05;09;25;2;1941;379;799;130;71;235;42;217;528;49
201912;03051017;03;05;10;17;2;975;110;322;75;37;185;23;205;193;10
201912;03051021;03;05;10;21;2;871;92;313;104;72;167;18;65;218;18
201912;03051022;03;05;10;22;2;518;61;166;79;19;85;21;72;146;9
201912;03061126;03;06;11;26;1;4959;1561;2374;328;104;453;147;359;1432;90
201912;03061131;03;06;11;31;1;3628;1444;1904;192;49;240;77;137;1190;31
201912;03061227;03;06;12;27;1;3992;1388;1886;230;57;358;103;160;1369;59
201912;03061228;03;06;12;28;1;3282;899;1468;228;64;298;82;227;1090;53
201912;03061332;03;06;13;32;1;7391;2648;3556;406;93;580;173;372;2503;114
201912;03061429;03;06;14;29;1;1784;207;536;168;46;227;87;165;690;33
201912;03061430;03;06;14;30;1;1737;117;376;61;119;131;28;535;535;13
201912;03061434;03;06;14;34;1;1924;541;828;126;41;194;54;119;664;24
201912;03061435;03;06;14;35;1;1202;272;446;77;29;135;28;82;449;33
201912;03061441;03;06;14;41;1;755;156;298;69;19;99;12;10;287;30
201912;03071536;03;07;15;36;1;4217;1470;1874;145;51;301;108;138;1687;58
201912;03071537;03;07;15;37;1;5665;2077;2682;218;61;539;108;258;1945;72
201912;03071633;03;07;16;33;1;1005;167;297;57;9;179;47;87;368;18
201912;03071638;03;07;16;38;1;5806;2055;2773;303;74;475;156;257;1998;73
201912;03071639;03;07;16;39;1;3577;1196;1689;241;69;298;98;215;1155;53
201912;04010101;04;01;01;01;2;5307;366;1809;1016;346;459;764;617;1064;248
201912;04010102;04;01;01;02;2;349;24;118;45;62;32;24;56;43;14
201912;04010103;04;01;01;03;2;4415;135;1082;641;234;595;797;733;574;400
201912;04020204;04;02;02;04;2;70;27;30;0;0;3;4;14;13;6
201912;04020205;04;02;02;05;2;324;66;102;21;16;25;18;18;133;12
201912;04020206;04;02;02;06;2;871;130;281;88;20;121;40;67;312;30
201912;04020207;04;02;02;07;2;801;162;310;52;21;55;55;38;293;29
201912;04020208;04;02;02;08;2;811;183;347;100;31;102;36;28;225;42
201912;04020209;04;02;02;09;2;1300;335;522;73;23;121;49;75;470;40
201912;04020310;04;02;03;10;2;534;45;161;42;64;35;12;107;155;0
201912;04020311;04;02;03;11;2;5157;914;1798;436;192;471;387;551;1528;230
201912;04020312;04;02;03;12;2;1826;284;543;118;71;206;141;207;562;96
201912;04020313;04;02;03;13;2;2766;462;953;235;165;207;258;278;755;150
201912;04020314;04;02;03;14;2;9;6;9;3;0;0;0;0;0;0
201912;04030415;04;03;04;15;1;1879;187;511;179;59;172;114;253;691;79
201912;04030416;04;03;04;16;1;5154;684;1336;326;279;422;1168;540;1039;370
201912;04030417;04;03;04;17;1;4286;892;1586;330;211;449;428;293;1055;264
201912;04030518;04;03;05;18;1;4428;636;1426;417;194;319;601;455;1177;256
201912;04030519;04;03;05;19;1;2753;469;922;269;101;220;331;321;669;189
201912;04030620;04;03;06;20;1;4068;568;1311;378;230;512;359;397;1006;253
201912;04030621;04;03;06;21;1;1858;314;661;178;92;228;228;136;415;98
201912;04030622;04;03;06;22;1;5285;912;1770;383;254;547;593;521;1248;352
201912;04030623;04;03;06;23;1;2924;387;701;147;109;595;288;280;758;193
201912;04030724;04;03;07;24;1;2575;534;962;250;87;356;168;196;740;66
201912;04030725;04;03;07;25;1;5206;1338;2158;384;292;486;296;349;1490;135
201912;04030726;04;03;07;26;1;2627;466;889;166;85;366;153;360;675;99
201912;04030827;04;03;08;27;1;6780;1265;2354;405;346;632;609;725;1826;288
201912;04030828;04;03;08;28;1;4532;1084;1646;230;252;302;279;346;1555;152
201912;04030929;04;03;09;29;1;2677;659;1064;210;107;240;130;216;808;112
201912;04030930;04;03;09;30;1;2679;691;1039;147;111;291;165;189;788;96
201912;04030931;04;03;09;31;1;2171;418;761;132;77;306;117;234;608;68
201912;04031032;04;03;10;32;1;6935;1293;2489;619;298;976;352;509;1987;324
201912;04041133;04;04;11;33;2;75;16;51;0;0;0;0;6;18;0
201912;04041134;04;04;11;34;2;2190;390;781;146;47;416;127;110;589;120
201912;04041135;04;04;11;35;2;1047;154;328;66;24;295;44;27;294;35
201912;04041136;04;04;11;36;2;1155;213;403;102;36;294;47;43;302;30
201912;04041137;04;04;11;37;2;3300;380;1106;431;196;541;221;260;798;178
201912;04041238;04;04;12;38;2;2195;310;735;233;76;345;148;201;539;151
201912;04041239;04;04;12;39;2;236;3;26;4;13;30;19;67;78;3
201912;04041240;04;04;12;40;2;428;72;128;29;15;86;12;22;140;25
201912;04041241;04;04;12;41;2;1854;376;709;161;74;240;97;180;478;76
201912;04041342;04;04;13;42;2;1486;167;551;278;76;179;119;127;365;69
201912;04041343;04;04;13;43;2;1155;206;415;81;36;179;91;39;339;56
201912;04041344;04;04;13;44;2;3094;648;1113;242;113;307;179;197;1018;167
201912;04051445;04;05;14;45;1;2907;363;909;282;179;412;260;270;697;180
201912;04051446;04;05;14;46;1;4985;960;1766;359;179;887;257;361;1285;250
201912;04051447;04;05;14;47;1;2288;485;830;177;74;340;111;134;696;103
201912;04051448;04;05;14;48;1;4477;904;1610;334;139;596;365;389;1221;157
201912;04051549;04;05;15;49;1;2109;344;766;149;191;155;192;277;403;125
201912;04051550;04;05;15;50;1;2469;417;869;221;85;273;216;208;701;117
201912;04051551;04;05;15;51;1;2018;312;709;144;98;245;161;202;464;139
201912;04051652;04;05;16;52;1;4045;928;1541;322;172;419;209;402;1159;143
201912;04051653;04;05;16;53;1;3086;610;1107;216;133;341;247;234;862;162
201912;04051654;04;05;16;54;1;1160;218;402;83;48;148;84;67;334;77
201912;04051655;04;05;16;55;1;3336;579;1128;313;139;392;256;354;858;209
201912;04051656;04;05;16;56;1;2608;568;1090;230;77;182;125;202;817;115
201912;04061757;04;06;17;57;2;21;0;0;0;0;3;0;4;14;0
201912;05010101;05;01;01;01;2;3170;225;856;436;194;303;476;569;545;227
201912;05010102;05;01;01;02;2;3071;189;1006;421;305;314;427;322;528;169
201912;05010103;05;01;01;03;2;1504;169;503;224;116;134;198;158;295;100
201912;05010204;05;01;02;04;2;1581;47;271;154;30;435;79;333;374;59
201912;05010205;05;01;02;05;2;635;58;220;92;36;69;125;35;94;56
201912;05010206;05;01;02;06;2;4552;180;1362;704;271;837;658;656;478;290
201912;05010207;05;01;02;07;2;6013;194;1685;1076;188;1531;1114;613;496;386
201912;05010208;05;01;02;08;2;2785;151;965;494;145;334;427;330;448;136
201912;05010209;05;01;02;09;2;2007;143;528;220;181;207;421;192;303;175
201912;05010310;05;01;03;10;2;1577;87;499;203;152;129;253;189;276;79
201912;05010311;05;01;03;11;2;2859;136;612;149;199;443;756;341;221;287
201912;05010312;05;01;03;12;2;4309;211;1388;358;367;258;738;756;633;169
201912;05010313;05;01;03;13;2;2972;255;938;270;244;258;404;522;424;182
201912;05010314;05;01;03;14;2;4941;317;1613;680;424;534;686;558;788;338
201912;05010339;05;01;03;39;2;663;12;45;20;28;69;28;266;215;12
201912;05020415;05;02;04;15;2;816;94;260;135;39;114;107;53;142;101
201912;05020416;05;02;04;16;2;96;22;52;24;0;9;9;0;18;8
201912;05020417;05;02;04;17;2;1800;149;593;238;124;193;231;235;332;92
201912;05020418;05;02;04;18;2;1198;55;300;160;85;137;116;233;278;49
201912;05020419;05;02;04;19;2;2288;190;863;375;167;287;230;279;327;135
201912;05020420;05;02;04;20;2;198;16;57;34;21;24;34;25;18;19
201912;05020521;05;02;05;21;2;908;43;226;75;51;137;154;82;160;98
201912;05020522;05;02;05;22;2;3715;146;1106;590;202;426;356;641;843;141
201912;05020523;05;02;05;23;2;7631;344;2066;798;443;1488;1088;1337;905;304
201912;05020524;05;02;05;24;2;1439;150;547;269;126;126;164;124;282;70
201912;05020625;05;02;06;25;2;2959;175;887;366;234;376;340;440;538;144
201912;05020626;05;02;06;26;2;6581;602;2214;706;559;450;940;947;1110;361
201912;05020627;05;02;06;27;2;2022;116;518;177;233;144;195;474;380;78
201912;05020628;05;02;06;28;2;525;37;190;111;18;45;106;57;65;44
201912;05020629;05;02;06;29;2;710;150;331;109;36;52;81;61;121;28
201912;05030730;05;03;07;30;2;2233;84;538;356;95;212;606;185;259;338
201912;05030731;05;03;07;31;2;5062;323;1792;1096;229;661;805;619;553;403
201912;05030832;05;03;08;32;2;5849;453;1751;776;457;328;948;767;1159;439
201912;05030833;05;03;08;33;2;236;27;80;21;9;9;68;19;24;27
201912;05040934;05;04;09;34;2;882;131;248;60;27;113;62;132;272;28
201912;05040935;05;04;09;35;2;113;15;43;25;6;9;0;32;23;0
201912;05040936;05;04;09;36;2;1804;344;775;280;30;158;172;95;463;111
201912;05040937;05;04;09;37;2;354;58;111;38;27;34;27;0;120;35
201912;05040938;05;04;09;38;2;527;104;218;63;19;75;16;30;157;12
201912;06010101;06;01;01;01;2;1860;352;714;204;69;145;142;99;555;136
201912;06010102;06;01;01;02;2;3209;561;1119;255;201;295;306;243;891;154
201912;06010103;06;01;01;03;2;2077;378;731;202;122;180;186;140;606;112
201912;06010204;06;01;02;04;2;2414;307;803;268;170;144;372;207;537;181
201912;06010205;06;01;02;05;2;3212;463;1099;382;205;271;412;254;725;246
201912;06010206;06;01;02;06;2;2347;283;808;266;170;278;172;222;533;164
201912;06010207;06;01;02;07;2;2755;377;874;322;160;291;224;311;721;174
201912;06010208;06;01;02;08;2;2144;314;699;215;124;241;241;150;564;125
201912;06010209;06;01;02;09;2;3287;519;1179;351;240;253;346;240;805;224
201912;06010210;06;01;02;10;2;1387;177;468;152;101;114;169;144;328;63
201912;06020301;06;02;03;01;2;1205;196;511;227;88;109;124;64;222;87
201912;06020302;06;02;03;02;2;1871;196;549;232;107;178;129;297;533;78
201912;06020303;06;02;03;03;2;2273;186;754;350;202;199;322;226;411;159
201912;06020304;06;02;03;04;2;2158;204;718;273;207;151;293;204;438;147
201912;06020305;06;02;03;05;2;3946;336;1239;615;166;490;589;375;782;305
201912;06020306;06;02;03;06;2;1260;153;440;206;85;101;172;55;338;69
201912;06020407;06;02;04;07;2;2338;149;616;383;92;330;302;306;532;160
201912;06020408;06;02;04;08;2;2009;192;564;264;153;179;150;289;568;106
